Date,Clicks,Impressions,CTR,Position
2026-06-20,0,4,0%,42.8
2026-06-21,0,3,0%,33
2026-06-22,0,3,0%,31.3
2026-06-23,0,26,0%,24.2
2026-06-24,0,28,0%,55.4
2026-06-25,1,28,3.57%,51.7
2026-06-26,0,35,0%,54.6
2026-06-27,0,29,0%,55.2
2026-06-28,0,44,0%,48.4
2026-06-29,1,39,2.56%,51.7
2026-06-30,1,42,2.38%,57.5
2026-07-01,0,35,0%,45.9
2026-07-02,0,29,0%,57.3
2026-07-03,0,27,0%,56
2026-07-04,0,28,0%,54.1
2026-07-05,0,76,0%,48.3
2026-07-06,1,65,1.54%,53.9
2026-07-07,1,69,1.45%,50.7
2026-07-08,0,24,0%,52.2
2026-07-09,0,4,0%,8
2026-07-10,0,9,0%,50.2
2026-07-11,0,12,0%,51.1
2026-07-12,2,36,5.56%,11.7
2026-07-13,0,8,0%,45.9
2026-07-14,1,7,14.29%,41.3
2026-07-15,2,9,22.22%,32.8
2026-07-16,0,4,0%,52.5
2026-07-17,0,12,0%,54.2
2026-07-18,0,8,0%,31.9
2026-07-19,0,23,0%,44.7
2026-07-20,2,49,4.08%,47.4
2026-07-21,0,87,0%,40.5
2026-07-22,1,51,1.96%,46.8
2026-07-23,0,57,0%,45.8
2026-07-24,0,56,0%,53.4
2026-07-25,0,48,0%,44.3
2026-07-26,0,61,0%,49.6
2026-07-27,0,67,0%,40.4
2026-07-28,0,163,0%,58.3
2026-07-29,0,52,0%,43.7
2026-07-30,0,87,0%,46.1
2026-07-31,0,60,0%,56.4
2026-08-01,0,60,0%,69.2
2026-08-02,0,55,0%,69.5
2026-08-03,0,18,0%,76.9
2026-08-04,2,9,22.22%,39.7
2026-08-05,0,7,0%,40.7
2026-08-06,0,8,0%,50.8
2026-08-07,1,5,20%,41.2
2026-08-08,0,8,0%,46.5
2026-08-09,0,14,0%,46.6
2026-08-10,0,13,0%,47.2
2026-08-11,0,3,0%,32
2026-08-12,0,4,0%,16.8
2026-08-13,0,7,0%,5.7
2026-08-14,0,3,0%,52
2026-08-15,0,1,0%,8
2026-08-16,0,1,0%,19
2026-08-17,0,3,0%,20.7
2026-08-18,0,3,0%,21.7
2026-08-19,0,3,0%,29.7
2026-08-20,0,1,0%,62
2026-08-21,0,5,0%,16.2
2026-08-22,0,1,0%,18
2026-08-23,0,1,0%,20
2026-08-24,0,1,0%,17
2026-08-25,1,2,50%,3
2026-08-26,0,6,0%,41
2026-08-27,0,4,0%,8.2
2026-08-28,1,3,33.33%,5.7
2026-08-29,0,1,0%,17
2026-08-30,1,3,33.33%,5.7
2026-08-31,0,4,0%,28.8
2026-09-01,0,5,0%,18.8
2026-09-02,0,3,0%,27.7
2026-09-03,0,1,0%,18
2026-09-04,0,3,0%,26
2026-09-05,0,2,0%,42
2026-09-06,0,9,0%,52
2026-09-07,0,8,0%,59.5
2026-09-08,0,2,0%,39
2026-09-09,0,5,0%,30.2
2026-09-10,0,1,0%,68
2026-09-11,0,1,0%,18
2026-09-12,0,3,0%,34
2026-09-13,0,8,0%,50.2
2026-09-14,0,5,0%,61.8
2026-09-15,0,4,0%,7.8
2026-09-16,0,3,0%,75
2026-09-17,0,5,0%,3.4
