Country,Clicks,Impressions,CTR,Position
India,13,32,40.62%,7.19
Malaysia,2,5,40%,9.6
United States,1,1687,0.06%,51.47
United Kingdom,1,73,1.37%,39.89
Pakistan,1,3,33.33%,6.33
Mexico,1,3,33.33%,9.33
France,0,21,0%,74.9
Canada,0,10,0%,8.5
Philippines,0,10,0%,27.2
Germany,0,9,0%,16.78
Brazil,0,8,0%,13.5
Vietnam,0,8,0%,15.75
South Africa,0,7,0%,57.86
Thailand,0,6,0%,18.33
Netherlands,0,6,0%,23.17
Indonesia,0,6,0%,25
Spain,0,4,0%,55.25
Russia,0,3,0%,33.33
Argentina,0,2,0%,4
Ecuador,0,2,0%,4.5
Venezuela,0,2,0%,26
Morocco,0,2,0%,29
Czechia,0,1,0%,2
Ethiopia,0,1,0%,3
Kuwait,0,1,0%,3
Peru,0,1,0%,3
Portugal,0,1,0%,3
Egypt,0,1,0%,4
Sri Lanka,0,1,0%,4
Romania,0,1,0%,4
Australia,0,1,0%,7
China,0,1,0%,7
Colombia,0,1,0%,7
Rwanda,0,1,0%,7
Lithuania,0,1,0%,8
Singapore,0,1,0%,11
Bangladesh,0,1,0%,12
Algeria,0,1,0%,24
Turkey,0,1,0%,49
Japan,0,1,0%,50
Belarus,0,1,0%,55
Kazakhstan,0,1,0%,66
