Top pages,Clicks,Impressions,CTR,Position
https://localsurgeseo.com/,18,419,4.3%,31.63
https://localsurgeseo.com/pricing,1,47,2.13%,51.55
https://localsurgeseo.com/florida,0,788,0%,51.41
https://localsurgeseo.com/seo-tool,0,466,0%,51.29
https://localsurgeseo.com/new-york,0,116,0%,55.58
https://localsurgeseo.com/blog/why-your-business-needs-local-seo-now,0,63,0%,70.17
https://localsurgeseo.com/local-seo,0,45,0%,43.64
https://localsurgeseo.com/contact,0,28,0%,5.18
https://localsurgeseo.com/why-us,0,21,0%,23.19
https://localsurgeseo.com/about,0,14,0%,11.07
https://localsurgeseo.com/site-map,0,7,0%,27.71
https://localsurgeseo.com/blog/top-on-page-seo-mistakes-local-businesses-make,0,5,0%,7
https://localsurgeseo.com/blog/google-business-profile-critical-local-contractors,0,3,0%,90.33
https://localsurgeseo.com/privacy-policy,0,1,0%,1
https://localsurgeseo.com/blog/mastering-google-business-profile-optimization,0,1,0%,91
